date,category,quota,price,total_bids,success_bids,population,registration,deregistration,cpi_car,cpi_transport,cpi_petrol,cpi_car_pct_change,cpi_transport_pct_change,cpi_petrol_pct_change,month,bid_quota_ratio,quota_pct_change,price_pct_change,total_bids_pct_change,success_bids_pct_change
2014-10-09,Cat B (Cars above 1600cc or 97kW),505,72180,852,501,281022.0,1487.0,1433.0,110.22,100.456,92.601,-0.4,-0.4,-2.2,10,1.687128712871287,-0.007858546168958758,0.002639255452146161,0.08535031847133756,-0.011834319526627168
2014-10-23,Cat B (Cars above 1600cc or 97kW),507,72002,822,506,281022.0,1487.0,1433.0,110.22,100.456,92.601,-0.4,-0.4,-2.2,10,1.621301775147929,0.003960396039603964,-0.0024660570795234094,-0.035211267605633756,0.009980039920159722
2014-11-05,Cat B (Cars above 1600cc or 97kW),574,70890,832,559,281213.0,1640.0,1449.0,110.747,99.94,89.091,0.5,-0.5,-3.8,11,1.4494773519163764,0.13214990138067062,-0.015444015444015413,0.012165450121654597,0.10474308300395263
2014-11-19,Cat B (Cars above 1600cc or 97kW),570,72890,900,560,281213.0,1640.0,1449.0,110.747,99.94,89.091,0.5,-0.5,-3.8,11,1.5789473684210527,-0.006968641114982632,0.028212723938496165,0.08173076923076916,0.0017889087656528524
2014-12-03,Cat B (Cars above 1600cc or 97kW),584,74389,873,582,281083.0,1589.0,1719.0,110.765,99.407,82.965,0.0,-0.5,-6.9,12,1.49486301369863,0.024561403508772006,0.02056523528604748,-0.030000000000000027,0.03928571428571437
2014-12-17,Cat B (Cars above 1600cc or 97kW),579,74000,755,572,281083.0,1589.0,1719.0,110.765,99.407,82.965,0.0,-0.5,-6.9,12,1.3039723661485318,-0.008561643835616417,-0.005229267768083967,-0.1351660939289805,-0.01718213058419249
2015-01-07,Cat B (Cars above 1600cc or 97kW),571,75289,833,570,280960.0,1972.0,2095.0,111.423,98.289,77.068,0.6,-1.1,-7.1,1,1.458844133099825,-0.013816925734024155,0.01741891891891889,0.10331125827814569,-0.0034965034965035446
2015-01-21,Cat B (Cars above 1600cc or 97kW),576,76889,915,576,280960.0,1972.0,2095.0,111.423,98.289,77.068,0.6,-1.1,-7.1,1,1.5885416666666667,0.008756567425569184,0.021251444434113864,0.09843937575030015,0.010526315789473717
2015-02-04,Cat B (Cars above 1600cc or 97kW),724,70890,959,723,281075.0,1589.0,1474.0,108.314,98.214,80.501,-2.8,-0.1,4.5,2,1.324585635359116,0.2569444444444444,-0.07802156355265377,0.04808743169398899,0.25520833333333326
2015-02-17,Cat B (Cars above 1600cc or 97kW),722,66751,1037,721,281075.0,1589.0,1474.0,108.314,98.214,80.501,-2.8,-0.1,4.5,2,1.4362880886426592,-0.002762430939226568,-0.058386232190718035,0.08133472367049,-0.0027662517289073207
2015-03-04,Cat B (Cars above 1600cc or 97kW),723,68668,1239,723,280617.0,1958.0,2416.0,110.384,99.864,89.257,1.9,1.7,10.9,3,1.7136929460580912,0.0013850415512466352,0.028718670881335173,0.1947926711668273,0.00277392510402219
2015-03-18,Cat B (Cars above 1600cc or 97kW),723,71889,1354,717,280617.0,1958.0,2416.0,110.384,99.864,89.257,1.9,1.7,10.9,3,1.8727524204702628,0.0,0.04690685617754986,0.09281678773204205,-0.008298755186721962
2015-04-08,Cat B (Cars above 1600cc or 97kW),722,76612,1661,716,280304.0,1976.0,2289.0,113.054,101.207,90.165,2.4,1.3,1.0,4,2.3005540166204987,-0.0013831258644536604,0.06569850742116312,0.22673559822747413,-0.001394700139469962
2015-04-22,Cat B (Cars above 1600cc or 97kW),728,78001,1525,708,280304.0,1976.0,2289.0,113.054,101.207,90.165,2.4,1.3,1.0,4,2.09478021978022,0.008310249307479145,0.01813031901007678,-0.08187838651414814,-0.011173184357541888
2015-05-06,Cat B (Cars above 1600cc or 97kW),934,77600,1631,934,280183.0,2070.0,2191.0,113.183,101.882,94.078,0.1,0.7,4.3,5,1.746252676659529,0.28296703296703307,-0.005140959731285477,0.06950819672131137,0.3192090395480225
2015-05-20,Cat B (Cars above 1600cc or 97kW),948,75002,1401,948,280183.0,2070.0,2191.0,113.183,101.882,94.078,0.1,0.7,4.3,5,1.4778481012658229,0.01498929336188426,-0.03347938144329898,-0.14101778050275904,0.01498929336188426
2015-06-04,Cat B (Cars above 1600cc or 97kW),929,75000,1384,923,280955.0,3134.0,2362.0,112.066,101.752,95.75,-1.0,-0.1,1.8,6,1.4897739504843919,-0.020042194092827037,-2.6665955574545208e-05,-0.012134189864382638,-0.026371308016877593
2015-06-17,Cat B (Cars above 1600cc or 97kW),928,71509,1144,926,280955.0,3134.0,2362.0,112.066,101.752,95.75,-1.0,-0.1,1.8,6,1.2327586206896552,-0.0010764262648008671,-0.046546666666666625,-0.17341040462427748,0.003250270855904569
2015-07-08,Cat B (Cars above 1600cc or 97kW),934,65501,1225,933,279963.0,1390.0,2382.0,109.303,100.72,94.121,-2.5,-1.0,-1.7,7,1.3115631691648821,0.006465517241379226,-0.08401739641164052,0.07080419580419584,0.0075593952483801186
2015-07-22,Cat B (Cars above 1600cc or 97kW),930,58109,1218,929,279963.0,1390.0,2382.0,109.303,100.72,94.121,-2.5,-1.0,-1.7,7,1.3096774193548386,-0.004282655246252709,-0.11285323888184917,-0.005714285714285672,-0.004287245444801746
2015-08-05,Cat B (Cars above 1600cc or 97kW),1057,60789,1634,1054,280265.0,2241.0,1939.0,108.748,98.755,92.232,-0.5,-2.0,-2.0,8,1.5458845789971618,0.13655913978494616,0.04612022234077329,0.3415435139573071,0.13455328310010772
2015-08-19,Cat B (Cars above 1600cc or 97kW),1058,62140,1551,1056,280265.0,2241.0,1939.0,108.748,98.755,92.232,-0.5,-2.0,-2.0,8,1.4659735349716445,0.0009460737937558861,0.022224415601506786,-0.05079559363525088,0.00189753320683117
2015-09-09,Cat B (Cars above 1600cc or 97kW),1059,62101,1628,1058,280394.0,2437.0,2308.0,108.33,98.656,90.771,-0.4,-0.1,-1.6,9,1.5372993389990557,0.000945179584120881,-0.000627615062761544,0.049645390070921946,0.0018939393939394478
