bidding_exercise,date,year,category,quota,price,total_bids,success_bids,population,registration,deregistration
July 2015 Second Open Bidding Exercise,2015-07-22,2015,Cat A (Cars up to 1600cc and 97kW),1435,55889,1966,1365,326108.0,1777.0,3798.0
July 2015 First Open Bidding Exercise,2015-07-08,2015,Cat A (Cars up to 1600cc and 97kW),1466,58700,1891,1464,326108.0,1777.0,3798.0
June 2015 Second Open Bidding Exercise,2015-06-17,2015,Cat A (Cars up to 1600cc and 97kW),1429,61000,1766,1421,328129.0,3853.0,3761.0
June 2015 First Open Bidding Exercise,2015-06-04,2015,Cat A (Cars up to 1600cc and 97kW),1432,66000,1943,1393,328129.0,3853.0,3761.0
May 2015 Second Open Bidding Exercise,2015-05-20,2015,Cat A (Cars up to 1600cc and 97kW),1434,66590,2351,1431,328037.0,2501.0,3627.0
May 2015 First Open Bidding Exercise,2015-05-06,2015,Cat A (Cars up to 1600cc and 97kW),1444,68589,2891,1438,328037.0,2501.0,3627.0
April 2015 Second Open Bidding Exercise,2015-04-22,2015,Cat A (Cars up to 1600cc and 97kW),987,67601,2055,979,329163.0,1866.0,3618.0
April 2015 First Open Bidding Exercise,2015-04-08,2015,Cat A (Cars up to 1600cc and 97kW),988,67749,2340,970,329163.0,1866.0,3618.0
March 2015 Second Open Bidding Exercise,2015-03-18,2015,Cat A (Cars up to 1600cc and 97kW),987,64700,2251,987,330915.0,1958.0,4030.0
March 2015 First Open Bidding Exercise,2015-03-04,2015,Cat A (Cars up to 1600cc and 97kW),987,61410,2120,986,330915.0,1958.0,4030.0
February 2015 Second Open Bidding Exercise,2015-02-17,2015,Cat A (Cars up to 1600cc and 97kW),988,57199,1294,988,332987.0,1306.0,2142.0
February 2015 First Open Bidding Exercise,2015-02-04,2015,Cat A (Cars up to 1600cc and 97kW),992,62002,1295,991,332987.0,1306.0,2142.0
January 2015 Second Open Bidding Exercise,2015-01-21,2015,Cat A (Cars up to 1600cc and 97kW),705,65001,1068,703,333823.0,1547.0,3174.0
January 2015 First Open Bidding Exercise,2015-01-07,2015,Cat A (Cars up to 1600cc and 97kW),704,66010,940,698,333823.0,1547.0,3174.0
December 2014 Second Open Bidding Exercise,2014-12-17,2014,Cat A (Cars up to 1600cc and 97kW),705,65889,868,699,335450.0,1482.0,2263.0
December 2014 First Open Bidding Exercise,2014-12-03,2014,Cat A (Cars up to 1600cc and 97kW),709,67089,996,703,335450.0,1482.0,2263.0
November 2014 Second Open Bidding Exercise,2014-11-19,2014,Cat A (Cars up to 1600cc and 97kW),701,67889,1144,694,336231.0,1269.0,2068.0
November 2014 First Open Bidding Exercise,2014-11-05,2014,Cat A (Cars up to 1600cc and 97kW),703,64900,1196,692,336231.0,1269.0,2068.0
October 2014 Second Open Bidding Exercise,2014-10-23,2014,Cat A (Cars up to 1600cc and 97kW),572,63990,1092,569,337030.0,1261.0,2080.0
October 2014 First Open Bidding Exercise,2014-10-09,2014,Cat A (Cars up to 1600cc and 97kW),575,63880,1097,570,337030.0,1261.0,2080.0
September 2014 Second Open Bidding Exercise,2014-09-17,2014,Cat A (Cars up to 1600cc and 97kW),573,62000,792,573,337849.0,1256.0,1875.0
September 2014 First Open Bidding Exercise,2014-09-03,2014,Cat A (Cars up to 1600cc and 97kW),572,64841,813,568,337849.0,1256.0,1875.0
August 2014 Second Open Bidding Exercise,2014-08-20,2014,Cat A (Cars up to 1600cc and 97kW),575,65710,994,574,338468.0,1081.0,1415.0
August 2014 First Open Bidding Exercise,2014-08-06,2014,Cat A (Cars up to 1600cc and 97kW),574,64600,1086,574,338468.0,1081.0,1415.0
July 2014 Second Open Bidding Exercise,2014-07-23,2014,Cat A (Cars up to 1600cc and 97kW),509,62890,1190,505,338802.0,937.0,1507.0
July 2014 First Open Bidding Exercise,2014-07-09,2014,Cat A (Cars up to 1600cc and 97kW),513,61990,1075,511,338802.0,937.0,1507.0
June 2014 Second Open Bidding Exercise,2014-06-18,2014,Cat A (Cars up to 1600cc and 97kW),509,61899,1040,506,339372.0,963.0,1291.0
June 2014 First Open Bidding Exercise,2014-06-04,2014,Cat A (Cars up to 1600cc and 97kW),507,63190,1040,499,339372.0,963.0,1291.0
May 2014 Second Open Bidding Exercise,2014-05-21,2014,Cat A (Cars up to 1600cc and 97kW),509,65689,997,506,339700.0,905.0,1271.0
May 2014 First Open Bidding Exercise,2014-05-07,2014,Cat A (Cars up to 1600cc and 97kW),513,60002,676,512,339700.0,905.0,1271.0
April 2014 Second Open Bidding Exercise,2014-04-23,2014,Cat A (Cars up to 1600cc and 97kW),361,71335,513,357,340066.0,768.0,1347.0
April 2014 First Open Bidding Exercise,2014-04-09,2014,Cat A (Cars up to 1600cc and 97kW),367,77400,537,360,340066.0,768.0,1347.0
March 2014 Second Open Bidding Exercise,2014-03-19,2014,Cat A (Cars up to 1600cc and 97kW),362,78602,577,360,340645.0,806.0,1330.0
March 2014 First Open Bidding Exercise,2014-03-05,2014,Cat A (Cars up to 1600cc and 97kW),365,76999,615,356,340645.0,806.0,1330.0
February 2014 Second Open Bidding Exercise,2014-02-19,2014,Cat A (Cars up to 1600cc and 97kW),362,77201,700,358,341169.0,754.0,1104.0
February 2014 First Open Bidding Exercise,2014-02-05,2014,Cat A (Cars up to 1600cc and 97kW),362,71564,719,356,341169.0,754.0,1104.0
January 2014 Second Open Bidding Exercise,2014-01-22,2014,Cat A (Cars up to 1600cc and 97kW),368,72290,724,364,341519.0,844.0,1011.0
January 2014 First Open Bidding Exercise,2014-01-08,2014,Cat A (Cars up to 1600cc and 97kW),364,72369,623,361,341519.0,844.0,1011.0
December 2013 Second Open Bidding Exercise,2013-12-18,2013,Cat A (Cars up to 1600cc and 97kW),367,74002,574,363,341686.0,733.0,804.0
December 2013 First Open Bidding Exercise,2013-12-04,2013,Cat A (Cars up to 1600cc and 97kW),364,73160,591,364,341686.0,733.0,804.0
November 2013 Second Open Bidding Exercise,2013-11-20,2013,Cat A (Cars up to 1600cc and 97kW),364,74991,650,361,341757.0,647.0,759.0
November 2013 First Open Bidding Exercise,2013-11-06,2013,Cat A (Cars up to 1600cc and 97kW),368,72609,590,368,341757.0,647.0,759.0
October 2013 Second Open Bidding Exercise,2013-10-23,2013,Cat A (Cars up to 1600cc and 97kW),373,76889,596,373,341869.0,650.0,798.0
